Strain,Latitude,Longitude
DL238,19.11,-155.81
ECA36,-36.893333,174.74552
ECA396,19.449831,-155.235493
EG4725,41.6288,-8.3476
JU1400,37.3845,-5.988
JU2526,38.7175,-9.1486
JU2600,49.1242,1.9496
JU310,46.63,1.06
MY2147,54.346355,10.117737
MY2693,54.3491,10.11505
NIC2,43.279,5.3543
NIC526,36.535679,-6.304441
QX1794,20.70559,-156.35678
XZ1516,22.149,-159.668
